cohort_month,modeled_redemption_points,development_month
2002-09,362.33,1
2002-10,412.43,1
2002-11,372.6,1
2002-12,364.55,1
2003-01,527.08,1
2003-02,267.76,1
2003-03,675.59,1
2003-04,385.82,1
2003-05,397.06,1
2003-06,392.11,1
2003-07,354.62,1
2003-08,363.17,1
2003-09,351.06,1
2003-10,334.38,1
2003-11,371.49,1
2003-12,313.38,1
2004-01,364.86,1
2004-02,318.47,1
2004-03,328.52,1
2004-04,490.97,1
2004-05,382.34,1
2004-06,341.05,1
2004-07,705.26,1
2004-08,408.29,1
2004-09,337.98,1
2004-10,339.6,1
2004-11,413.27,1
2004-12,543.38,1
2005-01,549.93,1
2005-02,393.88,1
2005-03,551.27,1
2005-04,307.13,1
2005-05,467.9,1
2005-06,386.98,1
2005-07,422.05,1
2005-08,491.74,1
2005-09,395.52,1
2005-10,407.52,1
2005-11,343.24,1
2005-12,350.9,1
2006-01,383.14,1
2006-02,316.86,1
2006-03,419.6,1
2006-04,406.68,1
2006-05,271.44,1
2006-06,325.72,1
2006-07,505.85,1
2006-08,352.4,1
2006-09,328.13,1
2006-10,495.15,1
2006-11,541.34,1
2006-12,408.86,1
2007-01,372.48,1
2007-02,396.6,1
2007-03,367.31,1
2007-04,389.58,1
2007-05,388.32,1
2007-06,352.05,1
2007-07,466.82,1
2007-08,320.93,1
2007-09,354.7,1
2007-10,405.49,1
2007-11,353.01,1
2007-12,428.34,1
2008-01,597.69,1
2008-02,370.95,1
2008-03,522.18,1
2008-04,297.74,1
2008-05,381.95,1
2008-06,325.18,1
2008-07,384.64,1
2008-08,366.74,1
2008-09,389.24,1
2008-10,450.95,1
2008-11,340.63,1
2008-12,427.19,1
2009-01,449.0,1
2009-02,324.99,1
2009-03,580.52,1
2009-04,256.68,1
2009-05,327.52,1
2009-06,332.27,1
2009-07,348.45,1
2009-08,385.94,1
2009-09,355.85,1
2009-10,464.06,1
2009-11,431.29,1
2009-12,440.1,1
2010-01,348.41,1
2010-02,226.59,1
2010-03,343.43,1
2010-04,370.91,1
2010-05,376.93,1
2010-06,457.62,1
2010-07,355.54,1
2010-08,321.96,1
2010-09,332.62,1
2010-10,498.03,1
2010-11,322.88,1
2010-12,407.68,1
2011-01,390.54,1
2011-02,266.95,1
2011-03,426.38,1
2011-04,338.06,1
2011-05,284.82,1
2011-06,454.4,1
2011-07,318.05,1
2011-08,444.97,1
2011-09,529.65,1
2011-10,275.0,1
2011-11,355.77,1
2011-12,499.56,1
2012-01,594.82,1
2012-02,358.68,1
2012-03,592.6,1
2012-04,406.06,1
2012-05,469.24,1
2012-06,335.0,1
2012-07,497.87,1
2012-08,484.57,1
2012-09,424.96,1
2012-10,326.18,1
2012-11,445.59,1
2012-12,579.64,1
2013-01,310.73,1
2013-02,286.66,1
2013-03,458.77,1
2013-04,327.94,1
2013-05,538.28,1
2013-06,454.52,1
2013-07,612.38,1
2013-08,562.92,1
2013-09,602.75,1
2013-10,360.45,1
2013-11,461.92,1
2013-12,360.26,1
2014-01,417.87,1
2014-02,282.48,1
2014-03,373.71,1
2014-04,440.07,1
2014-05,382.95,1
2014-06,378.31,1
2014-07,550.12,1
2014-08,313.87,1
2014-09,382.45,1
2014-10,476.9,1
2014-11,435.54,1
2014-12,420.48,1
2015-01,466.25,1
2015-02,378.85,1
2015-03,469.81,1
2015-04,392.92,1
2015-05,347.84,1
2015-06,487.98,1
2015-07,396.9,1
2015-08,295.7,1
2015-09,483.23,1
2015-10,369.57,1
2015-11,422.55,1
2015-12,405.41,1
2016-01,439.88,1
2016-02,392.8,1
2016-03,439.8,1
2016-04,350.29,1
2016-05,328.13,1
2016-06,331.66,1
2016-07,330.24,1
2016-08,384.75,1
2016-09,395.48,1
2016-10,364.97,1
2016-11,391.23,1
2016-12,366.2,1
2017-01,634.49,1
2017-02,385.71,1
2017-03,415.53,1
2017-04,270.86,1
2017-05,362.06,1
2017-06,416.57,1
2017-07,445.47,1
2017-08,358.46,1
2017-09,286.31,1
2017-10,388.78,1
2017-11,447.73,1
2017-12,533.18,1
2018-01,329.82,1
2018-02,404.88,1
2018-03,423.35,1
2018-04,339.94,1
2018-05,319.32,1
2018-06,370.53,1
2018-07,368.23,1
2018-08,326.52,1
2018-09,433.66,1
2018-10,498.26,1
2018-11,367.58,1
2018-12,441.98,1
2019-01,325.91,1
2019-02,389.24,1
2019-03,477.98,1
2019-04,372.68,1
2019-05,397.52,1
2019-06,353.4,1
2019-07,450.42,1
2019-08,354.39,1
2019-09,462.18,1
2019-10,353.59,1
2019-11,505.62,1
2019-12,556.22,1
2020-01,303.02,1
2002-09,362.33,2
2002-10,412.43,2
2002-11,372.6,2
2002-12,364.55,2
2003-01,527.08,2
2003-02,267.76,2
2003-03,675.59,2
2003-04,385.82,2
2003-05,397.06,2
2003-06,392.11,2
2003-07,354.62,2
2003-08,363.17,2
2003-09,351.06,2
2003-10,334.38,2
2003-11,371.49,2
2003-12,313.38,2
2004-01,364.86,2
2004-02,318.47,2
2004-03,328.52,2
2004-04,490.97,2
2004-05,382.34,2
2004-06,341.05,2
2004-07,705.26,2
2004-08,408.29,2
2004-09,337.98,2
2004-10,339.6,2
2004-11,413.27,2
2004-12,543.38,2
2005-01,549.93,2
