rewards_account_id,user_id,card_id,transaction_date,transaction_amount_usd,mcc,spend_category,points_per_usd,points_issued,age_months,redemption_development_pct,expected_ultimate_redemption_points,modeled_redeemed_to_date,outstanding_expected_redemption_points,modeled_liability_usd,is_expired
U0_C0,0,0,2002-09-01,134.09,5300,Retail,1,134,209,1.0,123.28,123.28,0.0,0.0,True
U0_C0,0,0,2002-09-01,38.48,5411,Grocery,2,77,209,1.0,70.84,70.84,0.0,0.0,True
U0_C0,0,0,2002-09-02,120.34,5411,Grocery,2,241,209,1.0,221.72,221.72,0.0,0.0,True
U0_C0,0,0,2002-09-02,128.95,5651,Retail,1,129,209,1.0,118.68,118.68,0.0,0.0,True
U0_C0,0,0,2002-09-03,104.71,5912,Retail,1,105,209,1.0,96.6,96.6,0.0,0.0,True
U0_C0,0,0,2002-09-03,86.19,5970,Retail,1,86,209,1.0,79.12,79.12,0.0,0.0,True
U0_C0,0,0,2002-09-04,93.84,5411,Grocery,2,188,209,1.0,172.96,172.96,0.0,0.0,True
U0_C0,0,0,2002-09-04,123.5,5411,Grocery,2,247,209,1.0,227.24,227.24,0.0,0.0,True
U0_C0,0,0,2002-09-05,53.91,4900,Other,1,54,209,1.0,49.68,49.68,0.0,0.0,True
U0_C0,0,0,2002-09-05,76.07,5814,Dining,2,152,209,1.0,139.84,139.84,0.0,0.0,True
U0_C0,0,0,2002-09-05,61.72,5411,Grocery,2,123,209,1.0,113.16,113.16,0.0,0.0,True
U0_C0,0,0,2002-09-05,57.1,7538,Other,1,57,209,1.0,52.44,52.44,0.0,0.0,True
U0_C0,0,0,2002-09-06,110.37,5541,Fuel,1,110,209,1.0,101.2,101.2,0.0,0.0,True
U0_C0,0,0,2002-09-07,117.05,5411,Grocery,2,234,209,1.0,215.28,215.28,0.0,0.0,True
U0_C0,0,0,2002-09-07,45.3,5942,Retail,1,45,209,1.0,41.4,41.4,0.0,0.0,True
U0_C0,0,0,2002-09-07,29.34,7538,Other,1,29,209,1.0,26.68,26.68,0.0,0.0,True
U0_C0,0,0,2002-09-08,147.45,5912,Retail,1,147,209,1.0,135.24,135.24,0.0,0.0,True
U0_C0,0,0,2002-09-08,27.75,5411,Grocery,2,56,209,1.0,51.52,51.52,0.0,0.0,True
U0_C0,0,0,2002-09-08,76.57,5411,Grocery,2,153,209,1.0,140.76,140.76,0.0,0.0,True
U0_C0,0,0,2002-09-08,22.56,7832,Other,1,23,209,1.0,21.16,21.16,0.0,0.0,True
U0_C0,0,0,2002-09-09,144.9,4899,Other,1,145,209,1.0,133.4,133.4,0.0,0.0,True
U0_C0,0,0,2002-09-09,56.42,5311,Retail,1,56,209,1.0,51.52,51.52,0.0,0.0,True
U0_C0,0,0,2002-09-09,2.71,5411,Grocery,2,5,209,1.0,4.6,4.6,0.0,0.0,True
