transaction_date,transaction_amount_usd,points_issued,modeled_liability_usd
2002-09,7293.44,9452,0.0
2002-10,6957.09,10759,0.0
2002-11,7257.44,9720,0.0
2002-12,6383.49,9510,0.0
2003-01,10133.14,13750,0.0
2003-02,4664.5,6985,0.0
2003-03,10276.88,17624,0.0
2003-04,7834.67,10065,0.0
2003-05,7559.71,10358,0.0
2003-06,8286.11,10229,0.0
2003-07,6997.4800000000005,9251,0.0
2003-08,7861.3099999999995,9474,0.0
2003-09,7365.79,9158,0.0
2003-10,7157.8,8723,0.0
2003-11,7287.67,9691,0.0
2003-12,7030.82,8175,0.0
2004-01,7431.47,9518,0.0
2004-02,6289.32,8308,0.0
2004-03,6441.33,8570,0.0
2004-04,9266.81,12808,0.0
2004-05,8183.3,9974,0.0
2004-06,7108.1,8897,0.0
2004-07,10435.15,18398,0.0
2004-08,7511.33,10651,0.0
2004-09,7570.55,8817,0.0
2004-10,6963.36,8859,0.0
2004-11,8335.92,10781,0.0
2004-12,9245.23,14175,0.0
2005-01,8876.23,14346,0.0
2005-02,6958.07,10275,0.0
2005-03,8579.94,14381,0.0
2005-04,5992.66,8012,0.0
2005-05,7210.66,12206,0.0
2005-06,7876.2,10095,0.0
2005-07,8370.5,11010,0.0
2005-08,7537.18,12828,0.0
2005-09,7512.11,10318,0.0
2005-10,9163.76,10631,0.0
2005-11,6750.97,8954,0.0
2005-12,7191.63,9154,0.0
2006-01,7740.62,9995,0.0
2006-02,6255.07,8266,0.0
2006-03,7643.93,10946,0.0
2006-04,7943.55,10609,0.0
2006-05,6590.1,7081,0.0
2006-06,6549.57,8497,0.0
2006-07,8776.48,13196,0.0
2006-08,7345.88,9193,0.0
2006-09,7280.47,8560,0.0
2006-10,8900.55,12917,0.0
2006-11,9387.41,14122,0.0
2006-12,7467.61,10666,0.0
2007-01,7762.49,9717,0.0
2007-02,7009.22,10346,0.0
2007-03,7730.63,9582,0.0
2007-04,8526.32,10163,0.0
2007-05,7977.79,10130,0.0
2007-06,7032.87,9184,0.0
2007-07,8049.86,12178,0.0
2007-08,6531.87,8372,0.0
2007-09,7479.15,9253,0.0
2007-10,8329.88,10578,0.0
2007-11,7434.36,9209,0.0
2007-12,9630.37,11174,0.0
2008-01,10590.06,15592,0.0
2008-02,7535.0199999999995,9677,0.0
2008-03,8253.92,13622,0.0
2008-04,5714.04,7767,0.0
2008-05,8777.86,9964,0.0
2008-06,6913.07,8483,0.0
2008-07,8235.81,10034,0.0
