redemption_month,modeled_redemption_points
2002-10,362.33
2002-11,774.76
2002-12,1147.36
2003-01,1511.9
2003-02,2038.99
2003-03,2306.75
2003-04,2982.33
2003-05,3368.16
2003-06,3765.22
2003-07,4157.33
2003-08,4511.95
2003-09,4875.12
2003-10,5226.18
2003-11,5560.56
2003-12,5932.04
2004-01,6245.42
2004-02,6610.28
2004-03,6928.75
2004-04,7257.27
2004-05,7748.24
2004-06,8130.58
2004-07,8471.63
2004-08,9176.88
2004-09,9585.17
2004-10,9560.83
2004-11,9488.0
2004-12,9528.67
2005-01,9707.5
2005-02,9730.34
2005-03,9856.46
2005-04,9732.14
2005-05,9653.44
2005-06,9724.28
2005-07,9719.15
2005-08,9786.58
2005-09,9915.15
2005-10,9959.61
2005-11,10032.75
2005-12,10004.5
2006-01,10042.03
2006-02,10060.32
2006-03,10058.7
2006-04,10149.78
2006-05,10065.49
2006-06,9954.59
2006-07,9939.26
2006-08,9739.85
2006-09,9683.96
2006-10,9674.11
2006-11,9829.66
2006-12,9957.74
2007-01,9823.22
2007-02,9645.78
2007-03,9648.5
2007-04,9464.54
2007-05,9546.99
2007-06,9467.41
2007-07,9432.49
2007-08,9477.26
2007-09,9306.45
2007-10,9265.63
2007-11,9263.59
2007-12,9273.37
2008-01,9350.8
2008-02,9565.36
2008-03,9619.44
2008-04,9722.02
2008-05,9613.08
2008-06,9723.59
2008-07,9723.06
2008-08,9601.85
2008-09,9616.18
2008-10,9677.29
2008-11,9633.09
2008-12,9432.38
2009-01,9450.7
2009-02,9527.21
2009-03,9455.61
2009-04,9668.82
2009-05,9535.92
2009-06,9475.12
2009-07,9455.34
2009-08,9336.96
2009-09,9401.98
2009-10,9403.13
2009-11,9461.7
2009-12,9539.98
2010-01,9551.75
2010-02,9302.46
2010-03,9158.1
2010-04,8979.35
2010-05,9052.53
2010-06,9047.51
2010-07,9179.95
2010-08,9150.86
2010-09,9106.08
2010-10,9049.46
2010-11,9096.54
2010-12,9078.79
2011-01,9059.28
2011-02,9000.82
2011-03,8942.78
2011-04,8788.64
2011-05,8870.03
2011-06,8827.32
2011-07,8949.45
2011-08,8919.06
2011-09,8978.09
2011-10,9151.89
2011-11,8962.83
2011-12,8887.32
2012-01,8946.77
2012-02,9193.18
2012-03,9325.27
2012-04,9574.44
2012-05,9609.59
2012-06,9701.9
2012-07,9579.27
2012-08,9721.6
2012-09,9884.21
2012-10,9976.56
2012-11,9804.71
2012-12,9927.41
2013-01,10099.38
2013-02,10019.57
2013-03,10039.27
2013-04,10071.66
2013-05,10061.54
2013-06,10315.0
2013-07,10315.12
2013-08,10609.44
2013-09,10727.39
2013-10,10800.49
2013-11,10885.94
2013-12,10992.08
2014-01,10852.78
2014-02,10675.83
2014-03,10599.63
2014-04,10380.74
2014-05,10414.75
2014-06,10328.46
2014-07,10371.77
2014-08,10424.02
2014-09,10253.32
2014-10,10210.81
2014-11,10361.54
2014-12,10351.49
2015-01,10192.33
2015-02,10347.85
2015-03,10440.04
2015-04,10451.08
2015-05,10516.06
2015-06,10325.62
2015-07,10359.08
2015-08,10143.61
2015-09,9876.39
2015-10,9756.87
2015-11,9765.99
2015-12,9726.62
2016-01,9771.78
2016-02,9793.78
2016-03,9904.11
2016-04,9970.19
2016-05,9880.42
2016-06,9825.6
2016-07,9778.95
2016-08,9559.07
2016-09,9629.95
2016-10,9642.98
2016-11,9531.05
2016-12,9486.73
2017-01,9432.45
2017-02,9600.7
2017-03,9607.56
2017-04,9553.28
2017-05,9431.23
2017-06,9445.45
2017-07,9374.03
2017-08,9422.6
2017-09,9485.35
2017-10,9288.44
2017-11,9307.64
2017-12,9332.83
2018-01,9460.59
2018-02,9350.54
2018-03,9362.61
2018-04,9346.17
2018-05,9335.82
2018-06,9327.0
2018-07,9365.87
2018-08,9403.86
2018-09,9345.63
2018-10,9383.81
2018-11,9517.09
2018-12,9493.44
2019-01,9569.23
2019-02,9260.64
2019-03,9264.17
2019-04,9326.62
2019-05,9428.43
2019-06,9463.89
2019-07,9400.71
2019-08,9405.66
2019-09,9401.59
2019-10,9577.47
2019-11,9542.28
2019-12,9600.16
2020-01,9623.2
2020-02,9596.41
