cohort_month,modeled_points
2002-09,362.33
2002-10,412.43
2002-11,372.6
2002-12,364.55
2003-01,527.08
2003-02,267.76
2003-03,675.59
2003-04,385.82
2003-05,397.06
2003-06,392.11
2003-07,354.62
2003-08,363.17
2003-09,351.06
2003-10,334.38
2003-11,371.49
2003-12,313.38
2004-01,364.86
2004-02,318.47
2004-03,328.52
2004-04,490.97
2004-05,382.34
2004-06,341.05
2004-07,705.26
2004-08,408.29
2004-09,337.98
2004-10,339.6
2004-11,413.27
2004-12,543.38
2005-01,549.93
2005-02,393.88
2005-03,551.27
2005-04,307.13
2005-05,467.9
2005-06,386.98
2005-07,422.05
2005-08,491.74
2005-09,395.52
2005-10,407.52
2005-11,343.24
2005-12,350.9
2006-01,383.14
2006-02,316.86
2006-03,419.6
2006-04,406.68
2006-05,271.44
2006-06,325.72
2006-07,505.85
2006-08,352.4
2006-09,328.13
2006-10,495.15
2006-11,541.34
2006-12,408.86
2007-01,372.48
2007-02,396.6
2007-03,367.31
2007-04,389.58
2007-05,388.32
2007-06,352.05
2007-07,466.82
2007-08,320.93
2007-09,354.7
2007-10,405.49
2007-11,353.01
2007-12,428.34
2008-01,597.69
2008-02,370.95
2008-03,522.18
2008-04,297.74
2008-05,381.95
2008-06,325.18
2008-07,384.64
2008-08,366.74
2008-09,389.24
2008-10,450.95
2008-11,340.63
2008-12,427.19
2009-01,449.0
2009-02,324.99
2009-03,580.52
2009-04,256.68
2009-05,327.52
2009-06,332.27
2009-07,348.45
2009-08,385.94
2009-09,355.85
2009-10,464.06
2009-11,431.29
2009-12,440.1
2010-01,348.41
2010-02,226.59
2010-03,343.43
2010-04,370.91
2010-05,376.93
2010-06,457.62
2010-07,355.54
2010-08,321.96
2010-09,332.62
2010-10,498.03
2010-11,322.88
2010-12,407.68
2011-01,390.54
2011-02,266.95
2011-03,426.38
2011-04,338.06
2011-05,284.82
2011-06,454.4
2011-07,318.05
2011-08,444.97
2011-09,529.65
2011-10,275.0
2011-11,355.77
2011-12,499.56
2012-01,594.82
2012-02,358.68
2012-03,592.6
2012-04,406.06
2012-05,469.24
2012-06,335.0
2012-07,497.87
2012-08,484.57
2012-09,424.96
2012-10,326.18
2012-11,445.59
2012-12,579.64
2013-01,310.73
2013-02,286.66
2013-03,458.77
2013-04,327.94
2013-05,538.28
2013-06,454.52
2013-07,612.38
2013-08,562.92
2013-09,602.75
2013-10,360.45
2013-11,461.92
2013-12,360.26
2014-01,417.87
2014-02,282.48
2014-03,373.71
2014-04,440.07
2014-05,382.95
2014-06,378.31
2014-07,550.12
2014-08,313.87
2014-09,382.45
2014-10,476.9
2014-11,435.54
2014-12,420.48
2015-01,466.25
2015-02,378.85
2015-03,469.81
2015-04,392.92
2015-05,347.84
2015-06,487.98
2015-07,396.9
2015-08,295.7
2015-09,483.23
2015-10,369.57
2015-11,422.55
2015-12,405.41
2016-01,439.88
2016-02,392.8
2016-03,439.8
2016-04,350.29
2016-05,328.13
2016-06,331.66
2016-07,330.24
2016-08,384.75
2016-09,395.48
2016-10,364.97
2016-11,391.23
2016-12,366.2
2017-01,634.49
2017-02,385.71
2017-03,415.53
2017-04,270.86
2017-05,362.06
2017-06,416.57
2017-07,445.47
2017-08,358.46
2017-09,286.31
2017-10,388.78
2017-11,447.73
2017-12,533.18
2018-01,329.82
2018-02,404.88
2018-03,423.35
2018-04,339.94
2018-05,319.32
2018-06,370.53
2018-07,368.23
2018-08,326.52
2018-09,433.66
2018-10,498.26
2018-11,367.58
2018-12,441.98
2019-01,325.91
2019-02,389.24
2019-03,477.98
2019-04,372.68
2019-05,397.52
2019-06,353.4
2019-07,450.42
2019-08,354.39
2019-09,462.18
2019-10,353.59
2019-11,505.62
2019-12,556.22
2020-01,303.02
